iter	Logloss
0	0.6846648541
1	0.6759163768
2	0.6658904872
3	0.6576741012
4	0.6490775826
5	0.6398186438
6	0.633573945
7	0.6242638814
8	0.6166149021
9	0.6104405983
10	0.6034009481
11	0.5956776019
12	0.5884441494
13	0.581169679
14	0.5733143915
15	0.5667870512
16	0.5597166868
17	0.5536827402
18	0.5482519091
19	0.5423998095
20	0.5353907556
21	0.5313857167
22	0.525486425
23	0.5189626241
24	0.5141788758
25	0.5087104876
26	0.5035826693
27	0.4991737838
28	0.4940227627
29	0.4879013533
30	0.4843639098
31	0.4798904104
32	0.4763591806
33	0.4716363887
34	0.4676114112
35	0.4627520374
36	0.4594619594
37	0.4564084712
38	0.4530567287
39	0.4489912446
40	0.4452073795
41	0.4415863666
42	0.4386252177
43	0.4360238695
44	0.4334310551
45	0.4303936516
46	0.4284549202
47	0.4254066231
48	0.4225232232
49	0.4195935751
50	0.4159781859
51	0.4131829173
52	0.4111389475
53	0.409650193
54	0.4073568128
55	0.404928463
56	0.4019189028
57	0.3997919142
58	0.3975070285
59	0.3956689736
60	0.3941287798
61	0.392026567
62	0.3894775233
63	0.3877926856
64	0.3850480699
65	0.3828411299
66	0.380805104
67	0.3786842503
68	0.3772156706
69	0.3752283313
70	0.373550769
71	0.3717026465
72	0.3704957077
73	0.368025357
74	0.3666749541
75	0.3650684553
76	0.3637359462
77	0.3615429672
78	0.3601517038
79	0.3586909894
80	0.3578191934
81	0.3561126866
82	0.3542832837
83	0.3528226086
84	0.3509772389
85	0.3495338676
86	0.3475556521
87	0.3456897539
88	0.3443988131
89	0.3424401037
90	0.3409583888
91	0.3394211051
92	0.3378580624
93	0.3365077383
94	0.3349602296
95	0.3336612662
96	0.332364859
97	0.3311846625
98	0.3298517797
99	0.3287658298
100	0.3272326165
101	0.3260785132
102	0.3249289129
103	0.3234818449
104	0.3224539019
105	0.3211224743
106	0.3201193269
107	0.3189204304
108	0.3182372654
109	0.3168754184
110	0.3160986753
111	0.3150040931
112	0.3143211247
113	0.3130814857
114	0.3122563706
115	0.3111496758
