iter	Passed	Remaining
0	49	49006
1	50	25071
2	51	17076
3	52	13054
4	53	10615
5	54	8987
6	62	8842
7	63	7904
8	64	7130
9	65	6488
10	66	5979
11	67	5551
12	68	5193
13	69	4881
14	93	6148
15	94	5825
16	95	5541
17	96	5279
18	97	5055
19	100	4929
20	102	4775
21	106	4725
22	108	4614
23	110	4505
24	111	4363
25	113	4235
26	121	4369
27	123	4280
28	124	4164
29	125	4050
30	126	3946
31	127	3845
32	127	3750
33	128	3658
34	129	3572
35	130	3490
36	131	3414
37	132	3344
38	133	3278
39	134	3219
40	151	3551
41	153	3504
42	156	3483
43	157	3432
44	159	3386
45	160	3330
46	161	3276
47	162	3225
48	163	3176
49	164	3129
50	165	3082
51	166	3039
52	167	2996
53	168	2951
54	169	2911
55	170	2875
56	171	2840
57	172	2806
58	173	2772
59	174	2734
60	175	2700
61	176	2668
62	177	2638
63	187	2749
64	189	2720
65	190	2691
66	191	2660
67	192	2631
68	194	2622
69	202	2690
70	204	2682
71	206	2661
72	207	2637
73	208	2612
74	214	2650
75	245	2981
76	259	3110
77	261	3092
78	263	3077
79	265	3048
80	265	3017
81	266	2988
82	268	2961
83	268	2932
84	269	2902
85	270	2875
86	271	2848
87	272	2823
88	284	2913
89	285	2891
90	287	2869
91	288	2844
92	289	2820
93	290	2798
94	291	2774
95	292	2750
96	292	2725
97	293	2701
98	294	2681
99	295	2658
100	296	2636
101	296	2613
102	297	2592
103	298	2571
104	299	2550
105	299	2529
106	300	2511
107	301	2493
108	303	2477
109	303	2459
110	305	2444
111	306	2428
112	307	2412
113	308	2396
114	310	2387
115	311	2371
116	312	2356
117	312	2339
118	313	2322
119	314	2307
120	315	2291
121	316	2277
122	317	2261
123	318	2246
124	318	2231
125	319	2216
126	320	2201
127	321	2186
128	321	2172
129	322	2157
130	323	2143
131	323	2130
132	324	2118
133	325	2105
134	326	2092
135	327	2080
136	328	2069
137	330	2062
138	352	2182
139	353	2170
140	354	2158
141	354	2143
142	355	2131
143	358	2128
144	362	2137
145	364	2132
146	370	2147
147	371	2136
148	372	2126
149	374	2120
150	375	2110
151	376	2100
152	377	2088
153	378	2076
154	378	2065
155	379	2053
156	380	2041
157	381	2033
158	385	2041
159	387	2032
160	388	2023
161	389	2014
162	390	2004
163	391	1995
164	392	1986
165	393	1976
166	394	1966
167	398	1974
168	400	1966
169	405	1977
170	406	1972
171	408	1965
172	419	2005
173	421	1998
174	424	1999
175	425	1992
176	426	1984
177	428	1977
178	429	1970
179	430	1962
180	432	1957
181	433	1950
182	434	1941
183	435	1933
184	436	1923
185	437	1915
186	438	1906
187	441	1904
188	442	1899
189	444	1893
190	445	1885
191	445	1876
192	446	1868
193	447	1861
194	448	1852
195	449	1844
196	450	1836
197	451	1827
198	452	1819
199	452	1811
200	453	1804
201	454	1796
202	458	1799
203	460	1795
204	461	1788
205	461	1780
206	462	1772
